File,Wavelet,Coefficient_Type,Level,PSNR
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,1,32.1451155881256
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,1,33.61584896486785
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,2,30.945732446425307
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,2,33.659730204486436
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,3,29.334635850025492
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,3,32.931066062309796
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,4,29.38132653361784
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,4,32.57369622669225
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,db3,Approximate,1,32.9362127484571
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,db3,Detailed,1,33.55604157280564
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Approximate,1,32.496225427035235
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Detailed,1,33.586839206017714
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Approximate,2,30.946546621366426
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Detailed,2,33.580861304428275
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,coif1,Approximate,1,32.38670787818445
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,coif1,Detailed,1,33.961463121315646
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,bior1.3,Approximate,1,32.133684899325004
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,bior1.3,Detailed,1,33.49070335033783
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,rbio1.3,Approximate,1,32.39996300673583
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_2.png,rbio1.3,Detailed,1,33.28176010661196
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,1,31.935088041253806
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,1,33.740768026971324
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,2,30.743328248130823
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,2,32.97427251332217
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,3,28.425591508633868
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,3,33.14712364517297
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Approximate,1,31.81256243429987
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Detailed,1,33.000848495196685
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Approximate,1,31.9981128350952
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Detailed,1,33.688403325429036
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Approximate,2,30.351704522420214
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Detailed,2,32.55623288180511
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,coif1,Approximate,1,31.410210059227673
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,coif1,Detailed,1,33.279506969549324
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,bior1.3,Approximate,1,32.54521779796399
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,bior1.3,Detailed,1,33.81046905779147
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,rbio1.3,Approximate,1,32.18319608281447
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_3.png,rbio1.3,Detailed,1,33.90996891182053
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,1,33.2979879744343
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,1,42.63507876774977
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,2,31.20910391058823
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,2,36.557423394390625
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,3,30.329946107070672
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,3,36.31083735575491
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,db3,Approximate,1,33.416183819036966
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,db3,Detailed,1,44.930825261279494
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Approximate,1,33.78140959172711
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Detailed,1,43.54442511842261
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Approximate,2,31.79386520218185
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Detailed,2,41.24311057204661
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,coif1,Approximate,1,33.26624580112342
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,coif1,Detailed,1,45.24839122247435
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,bior1.3,Approximate,1,33.07809223534273
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,bior1.3,Detailed,1,41.779019051190716
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,rbio1.3,Approximate,1,34.0072482963527
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_4.png,rbio1.3,Detailed,1,44.05173757234684
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,1,33.35683451120331
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,1,36.06768594966418
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,2,31.4371919842749
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,2,36.20751902941544
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,3,30.20955600992014
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,3,35.59304035398562
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,db3,Approximate,1,33.894444604281006
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,db3,Detailed,1,36.21948856795873
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Approximate,1,33.67921131487649
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Detailed,1,36.27983615525416
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Approximate,2,32.11123785299909
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Detailed,2,35.86910237468911
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,coif1,Approximate,1,34.27133797746289
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,coif1,Detailed,1,36.57021823682225
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,bior1.3,Approximate,1,33.64889524087923
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,bior1.3,Detailed,1,36.26231610584668
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,rbio1.3,Approximate,1,34.33300180712193
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_1.png,rbio1.3,Detailed,1,36.364379666089455
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,1,32.598241650167985
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,1,36.52300037317878
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,2,31.57007223825833
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,2,34.95344671701076
